token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
2104	ὁ	l-p---mn-	ὁ	ὁ	l-p---mn-	l-p---mn-	
2105	πάρειμι	v-pppamn-		πάρειμι		v-pppamn-	glaux_only
2106	ἄν	g--------		ἄν		g--------	glaux_only
2107	ἀγαθός	a-s---nac		ἀγαθός		a-s---nac	glaux_only
2108	λέγω	v3piia---		λέγω		v3piia---	glaux_only
2109	περί	r--------		περί		r--------	glaux_only
2110	ὅς	p-p---ng-	ὅς	ὅς	p-p---ng-	p-p---ng-	
2111	αὐτός	p-p---mn-		αὐτός		p-p---mn-	glaux_only
2112	ποιέω	v3plia---		ποιέω		v3plia---	glaux_only
2113	.	u--------		.		u--------	glaux_only
2114	γιγνώσκω	v1saia---		γιγνώσκω		v1saia---	glaux_only
2115	οὖν	g--------		οὖν		g--------	glaux_only
2116	αὖ	d--------		αὖ		d--------	glaux_only
2117	καί	d--------	καί	καί	d--------	d--------	
2118	περί	r--------		περί		r--------	glaux_only
2119	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2120	ποιητής	n-p---mg-		ποιητής		n-p---mg-	glaux_only
2121	ἐν	r--------		ἐν		r--------	glaux_only
2122	ὀλίγος	a-s---nd-		ὀλίγος		a-s---nd-	glaux_only
2123	οὗτος	p-s---na-		οὗτος		p-s---na-	glaux_only
2124	,	u--------		,		u--------	glaux_only
2125	ὅτι	c--------		ὅτι		c--------	glaux_only
2126	οὐ	d--------		οὐ		d--------	glaux_only
2127	σοφία	n-s---fd-		σοφία		n-s---fd-	glaux_only
2128	ποιέω	v3ppoa---		ποιέω		v3ppoa---	glaux_only
2129	ὅς	p-p---na-	ὅς	ὅς	p-p---nn-	p-p---na-	
2130	ποιέω	v3ppoa---		ποιέω		v3ppoa---	glaux_only
2131	,	u--------		,		u--------	glaux_only
2132	ἀλλά	b--------		ἀλλά		b--------	glaux_only
2133	φύσις	n-s---fd-		φύσις		n-s---fd-	glaux_only
2134	τις	p-s---cd-		τις		p-s---cd-	glaux_only
2135	καί	b--------	καί	καί	d--------	b--------	
2136	ἐνθουσιάζω	v-pppamn-		ἐνθουσιάζω		v-pppamn-	glaux_only
2137	ὥσπερ	c--------		ὥσπερ		c--------	glaux_only
2138	ὁ	l-p---mn-		ὁ		l-p---mn-	glaux_only
2139	θεόμαντις	n-p---mn-		θεόμαντις		n-p---mn-	glaux_only
2140	καί	b--------	καί	καί	d--------	b--------	
2141	ὁ	l-p---mn-		ὁ		l-p---mn-	glaux_only
2142	χρησμῳδός	a-p---mn-		χρησμῳδός		a-p---mn-	glaux_only
2143	·	u--------		·		u--------	glaux_only
2144	καί	d--------		καί		d--------	glaux_only
2145	γάρ	g--------	γάρ	γάρ	d--------	g--------	
2146	οὗτος	p-p---mn-		οὗτος		p-p---mn-	glaux_only
2147	λέγω	v3ppia---		λέγω		v3ppia---	glaux_only
2148	μέν	g--------		μέν		g--------	glaux_only
2149	πολύς	a-p---na-		πολύς		a-p---na-	glaux_only
2150	καί	b--------		καί		b--------	glaux_only
2151	καλός	a-p---na-		καλός		a-p---na-	glaux_only
2152	,	u--------	,	,	u--------	u--------	
2153	οἶδα	v3pria---		οἶδα		v3pria---	glaux_only
2154	δέ	b--------	δέ	δέ	g--------	b--------	
2155	οὐδείς	p-s---na-		οὐδείς		p-s---na-	glaux_only
2156	ὅς	p-p---ng-		ὅς		p-p---ng-	glaux_only
2157	λέγω	v3ppia---		λέγω		v3ppia---	glaux_only
2158	.	u--------		.		u--------	glaux_only
2159	τοιοῦτος	p-s---na-		τοιοῦτος		p-s---na-	glaux_only
2160	τις	p-s---na-		τις		p-s---na-	glaux_only
2161	ἐγώ	p1s---cd-		ἐγώ		p1s---cd-	glaux_only
2162	φαίνω	v3paip---		φαίνω		v3paip---	glaux_only
2163	πάθος	n-s---na-		πάθος		n-s---na-	glaux_only
2164	καί	d--------	καί	καί	d--------	d--------	
2165	ὁ	l-p---mn-		ὁ		l-p---mn-	glaux_only
2166	ποιητής	n-p---mn-		ποιητής		n-p---mn-	glaux_only
2167	πάσχω	v-prpamn-		πάσχω		v-prpamn-	glaux_only
2168	,	u--------		,		u--------	glaux_only
2169	καί	b--------	καί	καί	c--------	b--------	
2170	ἅμα	d--------		ἅμα		d--------	glaux_only
2171	αἰσθάνομαι	v1saim---		αἰσθάνομαι		v1saim---	glaux_only
2172	αὐτός	p-p---mg-		αὐτός		p-p---mg-	glaux_only
2173	διά	r--------		διά		r--------	glaux_only
2174	ὁ	l-s---fa-		ὁ		l-s---fa-	glaux_only
2175	ποίησις	n-s---fa-		ποίησις		n-s---fa-	glaux_only
2176	οἴομαι	v-pppmmg-		οἴομαι		v-pppmmg-	glaux_only
2177	καί	b--------		καί		b--------	glaux_only
2178							unmatched
2179							unmatched
2180	σοφός	a-p---mgs		σοφός		a-p---mgs	glaux_only
2181	εἰμί	v--pna---		εἰμί		v--pna---	glaux_only
2182	ἄνθρωπος	n-p---mg-		ἄνθρωπος		n-p---mg-	glaux_only
2183	ὅς	p-p---nn-		ὅς		p-p---nn-	glaux_only
2184	οὐ	d--------		οὐ		d--------	glaux_only
2185	εἰμί	v3piia---		εἰμί		v3piia---	glaux_only
2186	.	u--------		.		u--------	glaux_only
2187	ἀπέρχομαι	v1siia---		ἀπέρχομαι		v1siia---	glaux_only
2188	οὖν	g--------		οὖν		g--------	glaux_only
2189	καί	d--------	καί	καί	c--------	d--------	
2190	ἐντεῦθεν	d--------		ἐντεῦθεν		d--------	glaux_only
2191	ὁ	l-s---nd-		ὁ		l-s---nd-	glaux_only
2192	αὐτός	p-s---nd-		αὐτός		p-s---nd-	glaux_only
2193	οἴομαι	v-sppmmn-		οἴομαι		v-sppmmn-	glaux_only
2194	περιγίγνομαι	v--rna---		περιγίγνομαι		v--rna---	glaux_only
2195	ὅς	p-s---nd-		ὅς		p-s---nd-	glaux_only
2196	καί	d--------	καί	καί	c--------	d--------	
2197	ὁ	l-p---mg-		ὁ		l-p---mg-	glaux_only
2198	πολιτικός	a-p---mg-		πολιτικός		a-p---mg-	glaux_only
2199	.	u--------		.		u--------	glaux_only
2200	τελευτάω	v-sppamn-		τελευτάω		v-sppamn-	glaux_only
2201	οὖν	g--------		οὖν		g--------	glaux_only
2202	ἐπί	r--------		ἐπί		r--------	glaux_only
2203	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2204	χειροτέχνης	n-p---ma-		χειροτέχνης		n-p---ma-	glaux_only
2205	ἔρχομαι	v1siia---		ἔρχομαι		v1siia---	glaux_only
2206	·	u--------		·		u--------	glaux_only
2207	ἐμαυτοῦ	p-s---md-		ἐμαυτοῦ		p-s---md-	glaux_only
2208	γάρ	g--------		γάρ		g--------	glaux_only
2209	σύνοιδα	v1slia---		σύνοιδα		v1slia---	glaux_only
2210	οὐδείς	p-s---na-		οὐδείς		p-s---na-	glaux_only
2211	ἐπίσταμαι	v-sppmmd-		ἐπίσταμαι		v-sppmmd-	glaux_only
2212	ὡς	c--------		ὡς		c--------	glaux_only
2213	ἔπος	n-s---na-		ἔπος		n-s---na-	glaux_only
